,season,episode,title,speaker,line,category
70,2,2,Sexual Harassment,Toby,"Technically, I am in Human Resources. And Dwight was asking about human anatomy. Um... I'm just sad the public school system failed him so badly.",HR
71,2,2,Sexual Harassment,Jan,"You seem a little bit agitated, Michael. What's the problem?",Interpersonal
72,2,2,Sexual Harassment,Jan,"Well, that... that's true in a way. You can't say anything.",Opinions
73,2,2,Sexual Harassment,Jan," 'Scuse me, I'm sorry.  Michael. Mr. O'Malley is your lawyer.",HR
74,2,2,Sexual Harassment,Jan,"Mr. O'Malley is our Corporate lawyer. We have him on retainer. To protect the company as well as upper level management, such as yourself.",HR
75,2,3,Office Olympics,Angela,I do play games. I sing and I dangle things in front of my cats. I play lots of games. Just not at work.,Personal
76,2,3,Office Olympics,Angela,I call it Pam Pong. I count how many times Jim gets up from his desk and goes to reception to talk to you.,Interpersonal
77,2,4,The Fire,Angela,A Purpose Driven Life.,Opinions
78,2,4,The Fire,Angela,The DaVinci Code!,Opinions
79,2,4,The Fire,Angela,I would take The DaVinci Code... so I could burn The DaVinci Code.,Humour
80,2,5,Halloween,Angela,But we don't keep two sets of books.,Logistics
81,2,5,Halloween,Angela,"Well, I looked through all the budgets. And there is one department...",Logistics
82,2,5,Halloween,Angela,... that has three people...,Logistics
83,2,5,Halloween,Angela,... doing the work that could be done by two.,Logistics
84,2,5,Halloween,Angela,I'm just trying to figure out why you're sabotaging things.,Interpersonal
85,2,6,The Fight,Toby,"Um, ex-wife. Yeah. Um, her last name is 'Becker' now.",Personal
86,2,6,The Fight,Angela,This is illegal.,HR
87,2,7,The Client,Jan,This is a projection of the county's needs...,Logistics
88,2,7,The Client,Jan,"Thirteen schools, uh, two hospitals...",Logistics
89,2,7,The Client,Jan,"You had no right to do that, Michael.",Interpersonal
90,2,7,The Client,Jan,Alright. But you will let me run this meeting.,Logistics
91,2,7,The Client,Oscar,"She had done a background check on me, she had it printed out.",HR
92,2,7,The Client,Oscar,"Yeah. And she was asking me about stuff, line by line, while we were having dinner.",Personal
93,2,7,The Client,Jan,Do you always shut down the entire office when you leave for an hour?,Logistics
94,2,7,The Client,Jan,Why would we need a signal?,Logistics
95,2,7,The Client,Jan,"What kinda trouble are you planning on getting in, Michael?",Logistics
96,2,7,The Client,Jan,"You're gonna let me do the talking, we agreed on that.",Logistics
97,2,7,The Client,Jan,No.  Thank you very much for meeting with us. Have you been waiting long?,Logistics
98,2,7,The Client,Jan,"Michael, we got divorced, ok?  I'm so sorry. Excuse me.",Personal
99,2,7,The Client,Jan,I thought we could start by going over the needs of the county.,Logistics
100,2,7,The Client,Jan,"We would probably be upset with ourselves if we went this whole night without talking business, so, Dunder-Mifflin can provide a level of personal service to the county that the warehouse chains just can't match.",Logistics
101,2,7,The Client,Jan,What's the bottom line?,Logistics
102,2,7,The Client,Jan,We'd been fighting for a while-,Personal
103,2,7,The Client,Jan,"He didn't want kids, but I knew that going into it. But he also knew that I did. I guess I thought that he would change his mind; he thought that I would change mine.",Personal
104,2,7,The Client,Jan,I was stupid.,Personal
105,2,8,Performance Review,Angela,I actually look forward to performance reviews. I did the youth beauty pageant circuit. And I enjoyed that quite a bit. I really enjoy being judged. I believe I hold up very well to even severe scrutiny.,HR
106,2,8,Performance Review,Jan,"No. No, we won't be discussing that, Michael. The only things I wanna talk about during your performance review are your concrete ideas to improve your branch.",HR
107,2,8,Performance Review,Jan,"Uh, your review is anything but a formality, Michael.",HR
108,2,8,Performance Review,Jan,I expect you to forget anything that you think may have happened between us and exhibit completely professional behavior.,HR
109,2,8,Performance Review,Jan,"Ok, that is an example of completely unprofessional behavior.",HR
110,2,8,Performance Review,Angela,Don't talk about it. Office romances are nobody's business but the people involved.,HR
111,2,8,Performance Review,Jan," We'll address this in the meeting then. Ok. Ok, bye-bye.  Could you please tell Michael that I'm here?",Logistics
112,2,8,Performance Review,Jan,"You know Michael, I think I need to make something clear right off the top. I'm not going to discuss anything with you other than Dunder-Mifflin business.",Logistics
113,2,8,Performance Review,Jan,Do we understand each other.,Interpersonal
114,2,8,Performance Review,Jan,So are you still in the middle of the performance reviews then?,HR
115,2,8,Performance Review,Jan,How is that a business question?,Logistics
116,2,8,Performance Review,Jan,"Please don't smell me, Michael.",Interpersonal
117,2,8,Performance Review,Toby,Aren't the suggestions meant for you?,Logistics
118,2,8,Performance Review,Angela,Sometimes you talk to us real close.,Interpersonal
119,2,8,Performance Review,Jan,"Because nothing did, Michael. It, I'm not going to say anything more about it, and I would advise that you do the same",Opinions
120,2,8,Performance Review,Jan,"Is this how you've been conducting all the reviews, Michael?",Logistics
121,2,8,Performance Review,Jan,That's a serious offense!,HR
122,2,8,Performance Review,Jan,"Look, I know it's your job, I know you have to ask, but I promise you, I'm not gonna discuss it with him, I'm certainly not gonna discuss it with you.  Do you have a light?",Logistics
123,2,8,Performance Review,Jan,I'm heading back to New York,Logistics
124,2,8,Performance Review,Jan,"No, I am saying we are never having this conversation.",Logistics
125,2,8,Performance Review,Jan,"Never, for me, always means 'never ever ever.'",Interpersonal
126,2,8,Performance Review,Jan,"With your looks, ok? It's your personality. I mean, you're obnoxious, and rude, and, and, and stupid, and you do have coffee breath, by the way, and, and I don't agree about the b.o., but you are very, very inconsiderate.",Interpersonal
127,2,8,Performance Review,Jan,"Really. You're, you're, you're a great guy, ok?",Interpersonal
128,2,8,Performance Review,Jan,"And you were very sweet, and you stayed up with me and talked with me, cried with me, and I appreciate that-",Personal
129,2,8,Performance Review,Jan,"At this time in my life. I just am not in the place right now where I'm looking for a relationship, so we can still work together, we can still be friends but... ok?",Personal
130,2,9,E-Mail Surveillance,Oscar,"Hey, what's the deal, Michael? Why are you spying on our computers?",Logistics
131,2,9,E-Mail Surveillance,Oscar,Tin Man. Actually we just a got a memo from IT saying you're doing e-mail surveillance.,Logistics
132,2,9,E-Mail Surveillance,Angela,I'm a vegetarian.,Personal
133,2,9,E-Mail Surveillance,Angela,I think it's alright. Jesus drank wine. ,Humour
134,2,10,Christmas Party,Toby,I got Angela. She is into these posters of babies dressed as adults. I got her one of those. I felt kind of weird buying that.,Interpersonal
135,2,10,Christmas Party,Angela,Michael should have asked the party planning committee first. He's not supposed to just spring things on us out of nowhere. ,Logistics
136,2,11,Booze Cruise,Oscar,"Last year, Michael's theme was ""Bowl over the Competition!"" So guess where we went.",Logistics
137,2,13,The Secret,Angela,I agree it's unacceptable. ,Interpersonal
138,2,13,The Secret,Oscar,I feel nauseous and my heads killing.,Personal
139,2,13,The Secret,Oscar,Michael is there anything you need from me? I'd like to go back to bed.,Opinions
140,2,13,The Secret,Angela,This is from Hooters.,HR
141,2,13,The Secret,Angela,Did Toby approve this?,HR
142,2,13,The Secret,Toby,You just got your corporate credit card back. Do you really want me to take it away again?,HR
143,2,13,The Secret,Toby,I'm not processing this.,HR
144,2,13,The Secret,Toby,He seems fine to me.,Opinions
145,2,13,The Secret,Angela,"It's nobody's business, Phyllis. Roy.",Interpersonal
146,2,13,The Secret,Oscar,Are you going to tell Michael?,Interpersonal
147,2,14,The Carpet,Toby,That's no burst pipe.,Logistics
148,2,14,The Carpet,Oscar,"What happened in Michael's office was wrong. I understand it , it makes sense  But it... it was still wrong.",Interpersonal
149,2,14,The Carpet,Angela,We haven't finished getting things in order from your last visit.,Logistics
150,2,14,The Carpet,Oscar,"It's just that we're really swamped over here, Michael.",Logistics
151,2,14,The Carpet,Oscar,Are you kidding? I thought it was you.,Interpersonal
152,2,15,Boys & Girls,Jan,"So, I'm happy to be here. It's very nice to see all of you. You're all looking well.",Logistics
153,2,15,Boys & Girls,Jan,"Women today, though we have the same options as men, we often face a very different set of obstacles in getting there. So...",Logistics
154,2,15,Boys & Girls,Jan,Michael... I thought we agreed you wouldn't be here.,Logistics
155,2,15,Boys & Girls,Jan,You are not allowed in this session.,Logistics
156,2,15,Boys & Girls,Jan,Now you're really not allowed in this session.,Logistics
157,2,15,Boys & Girls,Jan,"Ladies, I am so, so sorry. Can we start again? We were on such a roll. I... I... really apologize.",Logistics
158,2,15,Boys & Girls,Jan, So one obstacle is how assertiveness is perceived differently in men and women. Men who are assertive will be admired. They're called... anyone?,Opinions
159,2,15,Boys & Girls,Jan,"I don't know what you're doing here, Michael,",Logistics
160,2,15,Boys & Girls,Jan,... but it's very destructive.,Logistics
161,2,15,Boys & Girls,Jan,"Can you please do this somewhere else, Michael?",Logistics
162,2,15,Boys & Girls,Jan,"Dwight, excellent idea. Go to the warehouse.",Logistics
163,2,15,Boys & Girls,Jan,"I'm so sorry about that... um... so where were we? Pam, are you okay taking notes then?",Logistics
164,2,15,Boys & Girls,Jan,Please? Thank you. very much.,Logistics
165,2,15,Boys & Girls,Jan,Why don't we go around the table and all say something that we know we're good at. I will start. I am good at public speaking.,Logistics
166,2,15,Boys & Girls,Jan,No. Okay. Stop. Go on...,Interpersonal
167,2,15,Boys & Girls,Angela,I've seen some of your spreadsheets.,Logistics
168,2,15,Boys & Girls,Jan,That is an excellent goal.,Logistics
169,2,15,Boys & Girls,Jan,"Well, I'll be honest. One of the goals of these women seminars is to feel out if there's any standouts. Women who could be a valuable addition to our Corporate life.",HR
170,2,15,Boys & Girls,Jan,"Great, great. And Pam, what about you? What is your dream?",Interpersonal
171,2,15,Boys & Girls,Jan,You know the company is offering a design training program in New York.,Logistics
172,2,15,Boys & Girls,Jan,"Well, it's only on weekends and then a few weeks in New York, but I'm sure that I could ask Corporate to help you out.",Logistics
173,2,15,Boys & Girls,Jan,There are always a million reasons not to do something.,Interpersonal
174,2,15,Boys & Girls,Jan,All right. Let's talk about clothing.,Opinions
175,2,15,Boys & Girls,Jan,"Dress for the job you want, not the job you have. All right. You can use your clothing to send a message about your ambitions by wearing clothes that reflect what you aspire to be.",Opinions
176,2,15,Boys & Girls,Angela,"I'm not gaining anything from this seminar. I'm a professional woman. The head of accounting. I'm in the healthiest relationship of my life. I just think it's insulting that Jan thinks we need this. And, apparently, judging from her outfit, Jan aspires to be a whore.",Interpersonal
177,2,15,Boys & Girls,Jan,Another issue is inequality of pay between men and women. I'm sure that all of you have felt that before...,Logistics
178,2,15,Boys & Girls,Jan,"The cons are that everyone will lose their job. Michael. Everyone. Office, Warehouse. What do you think... the... pros... are... here?",Logistics
179,2,15,Boys & Girls,Jan,"You got yourself into this Michael, so you get yourself out.",Logistics
180,2,15,Boys & Girls,Jan,"Sports metaphors are one of the ways women feel left out of the language of the office. Now, I know this might sound silly but a ... many women ask to go over it. So... Fumble means...",Opinions
181,2,15,Boys & Girls,Jan,"Right. Par for the course is a golf term. It means right on track. Below par means worse. Wait... that should mean better, that doesn't make sense.",Opinions
182,2,15,Boys & Girls,Jan," Kelly, I don't know what Michael's talking about.",Opinions
183,2,15,Boys & Girls,Angela,Are you married?,Personal
