season,episode,title,scene,speaker,line,
1,1,Pilot,17,Pam,This is Mr. Scott.,
1,1,Pilot,17,Michael,Guilty! Guilty as charged!,
1,1,Pilot,17,Ryan,Ryan Howard from the temp agency. Daniqua sent me down to start today.,
1,1,Pilot,17,Michael,"Howard, like Moe Howard. Three Stooges.",
1,1,Pilot,17,Ryan,Yup.,
1,1,Pilot,17,Michael,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee!  Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go.  I'm Hitler. Adolf Hitler. ",
1,1,Pilot,18,Pam,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",
1,1,Pilot,18,Pam,Dunder Mifflin. This is Pam.,
1,1,Pilot,19,Jim,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",
1,1,Pilot,19,Dwight,What?,
1,1,Pilot,19,Jim,What are you doing?,
1,1,Pilot,19,Dwight,Just clearing my desk. I can't concentrate.,
1,1,Pilot,19,Jim,It's not on your desk.,
1,1,Pilot,19,Dwight,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",
1,1,Pilot,19,Dwight,You can't do that.,
1,1,Pilot,19,Jim,Why not?,
1,1,Pilot,19,Dwight,Safety violation. I could fall and pierce an organ.,
1,1,Pilot,19,Jim, We'll see.  This is why the whole downsizing thing just doesn't bother me.,
1,1,Pilot,19,Dwight,Downsizing?,
1,1,Pilot,20,Dwight,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",
1,1,Pilot,21,Pam,You just still have these messages from yesterday.,
1,1,Pilot,21,Michael,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. ",
1,1,Pilot,21,Pam,What?,
1,1,Pilot,21,Michael,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",
1,1,Pilot,21,Pam,Don't we all?,
1,1,Pilot,21,Michael,I'm sorry?,
1,1,Pilot,21,Pam,Nothing.,
1,1,Pilot,21,Michael,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. ",
1,1,Pilot,22,Michael,"I think I'm a role model here. I think I garner people's respect.  Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",
1,1,Pilot,23,Michael,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",
1,1,Pilot,24,Michael,Now I know there's some rumors out there and I just kind of want to set the record straight.,
1,1,Pilot,24,Dwight,I'm Assistant Regional Manager. I should know first.,
1,1,Pilot,24,Michael,Assistant to the Regional Manager.,
1,1,Pilot,24,Dwight,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",
1,1,Pilot,24,Michael,I'm about to tell everybody. I'm just about to tell everybody.,
1,1,Pilot,24,Oscar,Can't you just tell us.,
1,1,Pilot,24,Dwight,"Please, OK? Do you want me to tell 'em?",
1,1,Pilot,24,Michael,You don't know what it is. ,
1,1,Pilot,24,Dwight,OK. You tell 'em. With my permission. Permission granted.,
1,1,Pilot,24,Michael,I don't need your permission.,
1,1,Pilot,24,Dwight,Go ahead.,
1,1,Pilot,24,Michael,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,
1,1,Pilot,25,Ryan,I heard they might be closing this branch down. That's just the rumor going around. This is my first day. I don't really know.,
1,1,Pilot,26,Oscar,"Yeah but Michael, what if they downsize here?",
1,1,Pilot,26,Michael,Not gonna happen.,
1,1,Pilot,26,Stanley,It could be out of your hands Michael.,
1,1,Pilot,26,Michael,"It won't be out of my hands Stanley, OK. I promise you that.",
1,1,Pilot,26,Stanley,Can you promise that?,
1,1,Pilot,26,Dwight,On his mother's grave.,
1,1,Pilot,26,Michael,No.,
1,1,Pilot,26,Phyllis,What?,
1,1,Pilot,26,Michael,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",
1,1,Pilot,26,Stanley,It's just that we need to know.,
1,1,Pilot,26,Michael,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",
1,1,Pilot,26,Pam,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,
1,1,Pilot,26,Man,Are you sure about that?,
1,1,Pilot,26,Michael,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",
1,1,Pilot,26,Dwight,"Pam, information is power.",
1,1,Pilot,26,Stanley,"You can't say for sure whether it'll be us or them, can you?",
1,1,Pilot,26,Michael,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",
1,1,Pilot,27,Jim,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",
1,1,Pilot,28,Pam,"Jim said mixed berries? Well, yeah, he's on to me. Um... ",
1,1,Pilot,29,Michael,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",
1,1,Pilot,29,Ryan,What's up? Nice to meet you.,
1,1,Pilot,29,Michael,Introduce yourself. Be polite.,
1,1,Pilot,29,Dwight,"Dwight Schrute, Assistant Regional Manager.",
1,1,Pilot,29,Michael,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",
1,1,Pilot,29,Dwight,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",
1,1,Pilot,29,Michael,That's his profit.,
1,1,Pilot,29,Dwight,"New engine, new suspension, I got a respray. I've got some photos.",
1,1,Pilot,30,Dwight,Damn it! Jim!,
1,1,Pilot,30,Michael,"OK. Hold on, hold on. The judge is in session. What is the problem here?",
1,1,Pilot,30,Dwight,He put my stuff in Jell-O again.,
