season,episode,title,scene,speaker,line,Unnamed: 6
3,19,The Negotiation,2067,Jan,I have to call you the second I get a new assistant?,
3,19,The Negotiation,2067,Jan,"Hi, Toby.  First---  First off, Michael, this is a salary negotiation. All matters regarding our personal relationship have to be set aside. Are we clear?",
3,19,The Negotiation,2067,Jan,Right now we can offer you a 6% raise.,
3,19,The Negotiation,2067,Toby,Just preparing for the deposition.,
3,19,The Negotiation,2068,Toby,This may be the first time that a male subordinate has attempted to get a modest scheduled raise by threatening to withhold s*x from a female superior. It will be a groundbreaking case when it inevitably goes to trial.,
3,19,The Negotiation,2071,Jan,"Okay, Michael. Please, why don't we just take a break. This is really going nowhere.",
3,19,The Negotiation,2072,Jan,What's wrong with you?,
3,19,The Negotiation,2072,Jan,"Okay, Michael. I can offer you a 12% raise, but you have got to ask for 15.",
3,19,The Negotiation,2072,Jan,"No, just... I just need you to ask for it, so I can record that you asked for it. Okay?",
3,19,The Negotiation,2072,Jan,No. But we can offer you 12.,
3,20,Safety Training,2090,Toby,"Ok, um, one thing that you're gonna want to look out for is carpal tunnel syndrome. It's recommended that you take a ten minute break from typing every hour. For your circulation, you're gonna want to get up out of your chairs and uh, and move around about ten minutes every hour.",
3,20,Safety Training,2090,Toby,"Um, yeah. You're computer screen can be a big strain on your eyes, so uh, it's also recommended that you step away for about... about ten minutes every hour.",
3,20,Safety Training,2090,Toby,"No, no. Um, you always want to keep a sweater or cardigan of some sort, in case it gets drafty.",
3,21,Product Recall,2131,Oscar,I wonder how many phone calls you're missing while you're teaching us to answer calls.,
3,21,Product Recall,2131,Angela,Can you just tell us what we need to do so we can go?,
3,21,Product Recall,2140,Angela," Excuse me? Well, I don't see how that's our fault. And I've already told you, the official position of Dunder Mifflin is apologetic, so I don't know what you want from me. ",
3,21,Product Recall,2148,Angela,"...and the company has already apologized, so you can take that apology or not.   I think he had Tourette's or something!",
3,21,Product Recall,2156,Angela,"Yeah, well you didn't know that when you filled out this payroll form.",
3,22,Women's Appreciation,2165,Toby,I don't think laughing about it is an appropriate response.,
3,22,Women's Appreciation,2167,Jan,"...come over after work tonight, OK? I miss your body.",
3,22,Women's Appreciation,2167,Jan,"I'll give you $200. And if I get up before you, I'll leave it on the dresser.",
3,22,Women's Appreciation,2167,Jan,"You know whatever. Just let my assistant know if you're coming over so he can get more vodka, OK? Hunter, are you on?",
3,22,Women's Appreciation,2177,Angela,Malls are just awful and humiliating. They're just store after store of these horrible salespeople making a big fuss out of an adult shopping in a junior's section. There are petite adults who are sort of... smaller who need to wear... maybe a kids' size 10.,
3,22,Women's Appreciation,2180,Angela,"Meredith, slow down! We're not gonna get there any faster if we're dead.",
3,22,Women's Appreciation,2186,Angela,"Sometimes, the clothes at GapKids are just too flashy. So I'm forced to go to the American Girl store and order clothes for large colonial dolls.",
3,22,Women's Appreciation,2200,Jan,"Michael...  I was, um... I was really unhappy with our conversation earlier. And I... I just - I couldn't stop thinking about it. So I decided that I would drive down here and apologize to you in person. So...  I'm sorry.",
3,22,Women's Appreciation,2200,Jan," Oh. Hold on, I'm sorry.",
3,22,Women's Appreciation,2200,Jan,"One second. Oh! It's from you. Uh, you wanna grab some dinner?",
3,22,Women's Appreciation,2200,Jan,"OK.  ""It's me, Michael. I'm just calling to say that I think we need a little break, permanently. And, uh, I know everybody says this, but I want...""",
3,23,Beach Games,2241,Angela,I knew you were saying sabotage. I was giving you an example of it. I will misunderstand everything that Andy says until he goes insane.,
3,23,Beach Games,2244,Oscar,If either of these guys are put in charge of the office I will transfer to Albany. Gil can come if he wants. I'm kinda looking for a way out of that relationship anyway. I think I might try girls for a while. Angela thinks I can cross over. We'll see.,
3,23,Beach Games,2251,Angela,I'm not going to talk through the fire after your disgusting feet have gone through.,
3,23,Beach Games,2254,Angela,"Or Mrs. ""Outside Hire.""",
3,24,The Job (Parts 1&2),2270,Oscar,"Hey, Pam I've been meaning to say something to you. I really miss our friendship. ",
3,24,The Job (Parts 1&2),2273,Angela,"No Dwight, I don't care if that is how they consolidated power in ancient Rome.",
3,24,The Job (Parts 1&2),2277,Jan,"I'm great. Uh, can we, can we talk... privately... for a minute?",
3,24,The Job (Parts 1&2),2277,Jan,"I just,  I uh... I don't uh... I, I don't, I don't like the way that we left things.",
3,24,The Job (Parts 1&2),2279,Jan,"Sorry to drop by unexpectedly. I uh, I tried calling, but I kept getting voice mail.",
3,24,The Job (Parts 1&2),2281,Jan,"After you ended... everything with us, I went on a vacation.",
3,24,The Job (Parts 1&2),2281,Jan,"It was. Yeah, it was good.  I think I'll just get right to the point, you know? Um, I, I feel good about myself for the first time in a really long time.",
3,24,The Job (Parts 1&2),2281,Jan,I've made some big changes in my life and... I miss you. I want us to get back together.,
3,24,The Job (Parts 1&2),2289,Jan,So...  there are a lot of things that I would like to do differently.,
3,24,The Job (Parts 1&2),2289,Jan,"I feel like, when we first got together, that I had a problem with my priorities.",
3,24,The Job (Parts 1&2),2289,Jan,And if we could talk about a way to approach a possible reconciliation...,
3,24,The Job (Parts 1&2),2312,Oscar,Do you really think he's qualified for that job?,
3,24,The Job (Parts 1&2),2318,Jan,How was your interview?,
3,24,The Job (Parts 1&2),2318,Jan,What's... what's the matter? What... what happened in there?,
3,24,The Job (Parts 1&2),2318,Jan,Tell me what?,
3,24,The Job (Parts 1&2),2319,Jan,You son of a bitch!,
3,24,The Job (Parts 1&2),2319,Jan,"No, I wanna know. I wanna know! Because if it is, then, then, then I will see you in court!",
3,24,The Job (Parts 1&2),2319,Jan,"'Cause he likes them.  Okay? He likes them. And, and that is, that is all I care about.",
3,24,The Job (Parts 1&2),2319,Jan,"Okay, you know what? I'm just not leaving. I'm not leaving. Not leaving.",
3,24,The Job (Parts 1&2),2321,Jan,"Don't let them change you, okay?  So long, .",
3,24,The Job (Parts 1&2),2323,Jan,"Oh, just... No, actually I think it's good, you know? It's fine, actually, I do. I really think it's great that it happened. Because, you know, my work has always been the thing that has gotten in the way of my happiness, so... ",
3,24,The Job (Parts 1&2),2323,Jan," Oh, I know, I know. It's just... I'm sorry. It's just these painkillers that I started taking since the surgery. Ohhh! They make my moods totally unpredictable! Wow! What am I gonna do?",
3,24,The Job (Parts 1&2),2323,Jan,"Live together. Actually, wait a minute! This could be great! This could be perfect! You know, my full-time job could be our relationship. I could wear stretch pants and wait for you to come home at 5:15.  It could work. This could work, really!",
4,1,Fun Run (Parts 1&2),2339,Oscar,"I don't know, there is no evidence of intimacy. They've been in remarkably good moods. It could be other things.",
4,1,Fun Run (Parts 1&2),2345,Angela,"She's been sick for some time. Thank you for asking, no one asks... about Sprinkles.",
4,1,Fun Run (Parts 1&2),2346,Angela,"I have to give her her meds, I have to pet her, and who will she eat lunch with?",
4,1,Fun Run (Parts 1&2),2346,Angela,"There's bad blood, jealousies, cliques.",
4,1,Fun Run (Parts 1&2),2351,Angela,Can you do me a little favor? Go to my place at lunch and give Sprinkles her medicine.,
4,1,Fun Run (Parts 1&2),2351,Angela,"There's a diabetes shot, roll the insulin in your hand, don't shake it. She gets an ace inhibitor with her meal, but you have to put her right in front of the dish or she won't see it because of the cataracts. Mix one capsule of omega fatty acid in with her kidney medicine, um... and you want to give that to her 15 minutes after she's eaten. And, oh and there's a fungal cream because she has this infection under her tail, so you're gonna have to lift her tail and put the cream right at the base of her tail.",
4,1,Fun Run (Parts 1&2),2359,Toby,"No, I did not violate an Indian burial ground. In fact I had some good luck recently, Alfredo's Pizza, picked my business card out of the basket, so... uh, I got a week of free pies.",
4,1,Fun Run (Parts 1&2),2359,Angela,Sprinkles never hurt a soul. God in your infinite wisdom how could you do this? She wasn't ready. She had so much left to accomplish.,
4,1,Fun Run (Parts 1&2),2373,Angela,"This is Sprinkles.  She was my best friend. I kept her going through countless ailments. I asked Dwight Schrute to feed her once, and she is now deceased. This is Halloween last year,  just a couple of kittens  out on the town.",
4,1,Fun Run (Parts 1&2),2374,Angela,"Pssst. I'm having relationship problems. And since you're always having relationship problems, I thought you'd be able to give me some advice.",
4,1,Fun Run (Parts 1&2),2374,Angela,"I have this crazy thought, that I know is crazy. That maybe Dwight killed my cat.",
4,1,Fun Run (Parts 1&2),2374,Angela,"When I got home, Sprinkles' body was in the freezer where Dwight said he left her, but all my bags of frozen french fries had been clawed to shreds.",
4,1,Fun Run (Parts 1&2),2383,Jan,There's no prize money.,
4,1,Fun Run (Parts 1&2),2385,Jan,So I heard that you were peeping on Michael.,
4,1,Fun Run (Parts 1&2),2385,Jan,"I don't know what your deal is, but he's mine, OK? So hands off.",
4,1,Fun Run (Parts 1&2),2388,Oscar,"You're doing great Michael, look at you go!",
4,1,Fun Run (Parts 1&2),2392,Jan,Michael that's irrational.,
4,1,Fun Run (Parts 1&2),2397,Toby,"I'm makin' great time. Usually I have to take a bathroom break half way through a race like this, but not today.",
4,1,Fun Run (Parts 1&2),2402,Angela,The vet is removing all of Sprinkles organs right now and sending them to the lab.,
4,1,Fun Run (Parts 1&2),2402,Angela,Well then she barfed them up in the freezer and tried to get out.,
4,1,Fun Run (Parts 1&2),2402,Angela,"Cat Heaven is a beautiful place, but you don't get there if you're euthanized.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2410,Toby,"...about some other people engaging in PDA and, you know  I just wanted to remind it's not appropriate to, to do that.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2410,Angela," For the record, I have never been involved with anyone at work, in any capacity.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2416,Angela,I can't believe you just thought you could replace Sprinkles. Before she's even in the ground.,
4,3,Dunder Mifflin Infinity (Parts 1&2),2417,Toby,"Oh well, you know, those were only for, you know  relationships, so... if, if this is just a casual thing, there's no need, really.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2433,Angela,"Hello, Dwight. I've been thinking about things and I wanted to know if you would have dinner with me tonight?",
4,3,Dunder Mifflin Infinity (Parts 1&2),2433,Angela,I would prefer a public place. See you after work.,
4,3,Dunder Mifflin Infinity (Parts 1&2),2434,Jan,"Well, not exactly my job... I had a different title.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2434,Jan,"Different salary.  You'll get there, don't worry.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2434,Jan,Best decision I ever made.,
4,3,Dunder Mifflin Infinity (Parts 1&2),2434,Jan,You know what? I love the beard. Keep it forever. ,
4,3,Dunder Mifflin Infinity (Parts 1&2),2435,Jan,"So, what's Ryan doing here?",
4,3,Dunder Mifflin Infinity (Parts 1&2),2435,Jan,He's such a snake.,
4,3,Dunder Mifflin Infinity (Parts 1&2),2435,Jan,I hope he's gets hit with an ageism suit.,
4,3,Dunder Mifflin Infinity (Parts 1&2),2435,Jan,"Ageism? Companies they can't discriminate against people due to old age. Like a couple years ago we tried to force out some of the older branch managers with a mandatory retirement age and then Ed Truck, your old boss, threatened us with a lawsuit, so we had to back off.",
4,3,Dunder Mifflin Infinity (Parts 1&2),2444,Angela,I can't do this. I can't be with you. Every time I look in your eyes I see Sprinkles' stiff lifeless body.,
4,3,Dunder Mifflin Infinity (Parts 1&2),2444,Angela,I will leave your toothbrush on top of your tire tomorrow morning. ,
4,3,Dunder Mifflin Infinity (Parts 1&2),2445,Toby, This is everybody else... okay... This is the place... so thanks for the lift.,
4,5,Launch Party (Parts 1&2),2490,Angela,I feel angry. Angry at you. Angry at you for doing something stupid. Angry at me for believing you could do something not stupid.,
4,5,Launch Party (Parts 1&2),2490,Angela,"Then it would say lanch party, Kevin. Would it really be better if it said lanch party?",
4,5,Launch Party (Parts 1&2),2491,Angela,"Plan a party, Angela. Oh! And the entire world will see it. Oh! And here's $65.00 for your budget. Oh and here are four idiots who'll do nothing but weigh you down. Oh. And your cat's still dead.",
4,5,Launch Party (Parts 1&2),2496,Jan," My friends? Michael, I was terminated.",
4,5,Launch Party (Parts 1&2),2496,Jan,Is it really that important to you?,
4,5,Launch Party (Parts 1&2),2500,Angela,I asked for assorted cutlery and I got back spoons. These are worthless.,
4,5,Launch Party (Parts 1&2),2500,Angela,"Phyllis. These are spoooons. Spoons have rounded tops, and are used to scoop things. What we need are forks, which have prongs, or tiny spears on top. And we need knives, which have blades. Do you understand me now?",
4,5,Launch Party (Parts 1&2),2505,Angela,Because there's a party! A party for the website I've been planning for two weeks.,
4,5,Launch Party (Parts 1&2),2512,Angela,"How do you tell someone it's over? You send them a notarized letter, right? Well, what if the recipient is your notary?",
4,5,Launch Party (Parts 1&2),2513,Angela,Hey. Do you have any men that you can fix me up with? I would like to have a relationship with a man.,
4,5,Launch Party (Parts 1&2),2519,Oscar,"Michael, there's a very big difference between these two pizza places. Both in quality of ingredients, and overall taste. Which one did you order from?",
4,5,Launch Party (Parts 1&2),2521,Angela,It should take no time at all if you put the care into it that you normally do.,
4,5,Launch Party (Parts 1&2),2523,Angela,"I have been working on a party for three weeks that just got thrown out the window. So now I've got to pull together a whole new party, and my useless number two quit, so now there's no one in charge of orchids, chocolates, or the thing that's made of ice. And my upper back itches, and it's itched all day, and I can't reach it, and Kevin had Greek food for lunch again.",
4,5,Launch Party (Parts 1&2),2533,Angela,"I needed another hour, it could have been done in another hour.",
4,5,Launch Party (Parts 1&2),2533,Angela,That's why you're not in charge Meredith.,
4,7,Money (Parts 1&2),2553,Jan,"Well, they both go with the carpet I've ordered, and if you go with the brown leather on the sofas, then they go with that too.",
4,7,Money (Parts 1&2),2553,Jan,A futon's not a sofa.,
4,7,Money (Parts 1&2),2555,Jan,Conniving little runt. Put him through.,
4,7,Money (Parts 1&2),2561,Jan,"So, um, I forgot to tell you that I need the car tonight.",
4,7,Money (Parts 1&2),2561,Jan,"Why? Improv? Why don't you just pretend you have a car? Good practice, incase you ever do a scene where you need to pretend you have a car?",
4,7,Money (Parts 1&2),2563,Angela,What about my cherub figurine?,
4,7,Money (Parts 1&2),2563,Angela,"No I left it on my night table--- your night table, by the lamp.",
4,7,Money (Parts 1&2),2586,Jan,"You drive, I had too much wine.",
4,7,Money (Parts 1&2),2590,Toby,"It was Ryan wanted Michael, the subject, to explain the computer system, the object.",
4,7,Money (Parts 1&2),2590,Toby,"To whomever, meaning us, the indirect object. Which is the correct usage of the word.",
4,7,Money (Parts 1&2),2608,Oscar,"Hey, I just wanted you to know that you can't just say the word bankruptcy and expect anything to happen.",
4,7,Money (Parts 1&2),2611,Oscar,"Okay, the green bar is what you spend every month on stuff you need, like a car and a house.",
4,7,Money (Parts 1&2),2611,Oscar,"The red bar is what you spend on non-essentials, like magazines, entertainment, things like that.",
4,7,Money (Parts 1&2),2611,Oscar,"This scary black bar is what you spend on things that no one ever, ever needs, like multiple magic sets, professional bass fishing equipment.",
4,7,Money (Parts 1&2),2617,Oscar,"So due to Michael's clever financial maneuvering, he finds himself tremendously in debt.",
4,7,Money (Parts 1&2),2617,Jan," Michael, how did this happen? Where did all your money go? I don't, I don't get this. I really don't. I don't know how you could be so irresponsible. I mean, this is, it is astounding to me, really. I don't know what more to say.",
4,7,Money (Parts 1&2),2617,Jan," Well, is he coming right back?",
4,7,Money (Parts 1&2),2619,Angela," You may ask me out to dinner. Nothing fancy or foreign, no bars, no patios, no vegetables, and no seafood.",
4,7,Money (Parts 1&2),2626,Jan,"Well, why are you sitting on a train? Where are you going?",
4,7,Money (Parts 1&2),2626,Jan,What does that mean?,
4,7,Money (Parts 1&2),2626,Jan,"Michael, come on. Running away from your problems won't solve anything. You know that.",
4,7,Money (Parts 1&2),2626,Jan,"Your creditors can follow you anywhere with ease. Your debt follows you around the world, electronically.",
4,7,Money (Parts 1&2),2626,Jan,"Uh, Michael, come on, come on, you can deal with this. It's not that bad.",
4,7,Money (Parts 1&2),2626,Jan,"Well, when my life fell apart and they, and they screwed me in New York, and I felt like my whole world was collapsing around me, I didn't have anyone. I mean, my whole family still won't even talk to me, on the advice of counsel, and my friends were just waiting for this to happen.",
4,7,Money (Parts 1&2),2626,Jan,"Michael, no, what I want to say is you were there for me. By my side. Without even a thought. That's just who you are. I mean, no matter how badly I treat you, or what I'm going through, you just, you are there for me. And that is a guy worth staying beside. So, where's this train taking us?",
4,7,Money (Parts 1&2),2628,Jan,I'm keeping them. I know you like them. They're kind of uncomfortable though.,
4,7,Money (Parts 1&2),2628,Jan,It's kind of painful and my nipples are over-sensitive now.,
4,9,Local Ad,2645,Oscar,When I was younger I always wanted to be an actor in commercials. Then I realized I had a brain.,
4,10,Branch Wars,2680,Oscar,"Besides having s*x with men, I would say that the Finer Things Club is the gayest thing about me.",
4,10,Branch Wars,2691,Oscar,Can you imagine a life where all you have to do is summer in the Italian countryside?,
4,10,Branch Wars,2693,Toby,"Alright, just know that you're not in the Finer Things Club.",
4,10,Branch Wars,2695,Oscar,"And George, his- his youthfulness. His, um, freedom.  Evokes, um, um, feeling, um, to the, um... What are you microwaving!?",
4,10,Branch Wars,2707,Toby,What was fun about it for you? Was it the death of the twins?,
4,11,Survivor Man,2708,Toby,"I really didn't think I was going to have a good time, but I did. Totally did.",
4,11,Survivor Man,2710,Toby,"Under the stars. It was really beautiful, you should come.",
4,11,Survivor Man,2712,Toby,"Me, Dan from Buffalo, Mark Chisholm, Jeff from Albany and Ryan, obviously. Made so many s'mores, that I finally had to say, ""No more s'mores, no more s'mores."" ",
4,11,Survivor Man,2713,Toby,"Ryan invited me to go on his wilderness adventure retreat. It was this amazing, beautiful experience ",
4,11,Survivor Man,2725,Angela,It's birthday month. Creed's is today. Oscar's is week after next. Meredith's is at the end of the month.  Michael usually goes with red and white streamers...,
4,11,Survivor Man,2737,Oscar," ""Let's be honest, as fun as birthdays are we could all use a break from the constant cake, so let's celebrate birthday month in style today."" This is really cool.",
4,11,Survivor Man,2737,Oscar,"No, totally, totally. This way we get it all out of the way at once and it could actually be fun.",
4,11,Survivor Man,2756,Toby,"Hey, I just got the word on the communal birthdays. Great idea.",
4,11,Survivor Man,2756,Toby,"Well, it... there was. But Michael scheduled it for 4:58 on a Friday. You know, people sang in the parking lot.",
4,11,Survivor Man,2756,Toby,"I don't know, I just thought you could include me.",
4,11,Survivor Man,2756,Toby,I just though you could add me. I don't see the harm in that.,
4,11,Survivor Man,2758,Angela,"No. No way. I am not a machine, Jim. You can't just change plans willy nilly and expect these little magic party elves to do your bidding. We already have devils food, peach cobbler, Fudgie the Whale, mushroom caps.",
4,11,Survivor Man,2758,Toby,I'm allergic to mushrooms.,
4,12,The Deposition,2769,Jan,"I don't know, it's just, ugh, I never felt welcomed there, you know? It's such a...boys club.",
4,12,The Deposition,2769,Jan,And they displayed a pattern of disrespect and inappropriate behavior.,
4,12,The Deposition,2769,Jan,"Um, no, I want it up. My hair.",
4,12,The Deposition,2769,Jan,"Remember, it isn't just a pattern, It's a pattern of disrespect, and inappropriate behavior.",
4,12,The Deposition,2769,Jan,"Uh, come on Micheal, that's tacky.",
4,12,The Deposition,2769,Jan,"Stop saying ridiculous things. He's just gonna tell the truth, the truth is-is very...you know, complicated, so we went over it carefully, and-and just so we wouldn't leave anything up to chance or Michael's judgment.",
4,12,The Deposition,2769,Jan,"Michael, I told you, I am not putting the top down.",
4,12,The Deposition,2782,Toby,"Michael, I'm your HR Rep. I'm on your side.",
4,12,The Deposition,2782,Jan,"Michael, just relax, okay?",
4,12,The Deposition,2784,Jan,People underestimate Michael. There are plenty of things that he is well above average at. Like ice skating. He is a very good ice skater.,
4,12,The Deposition,2786,Jan,"Okay, if I may, he was just telling a joke before, so can we move on to another question?",
4,12,The Deposition,2794,Toby," ...You know, I, uh, I know a little about what you're going through in a way. Um, when I was a kid, my parents got divorced. They both wanted custody, and they both asked me to testify against the other one in court. So, I don't know, I didn't want them getting divorced in the first place you know? I loved them both so much. I just wanted... ",
4,12,The Deposition,2795,Jan,"I had to, I'm sorry but I need to win this. We need to win this.",
4,12,The Deposition,2795,Jan,You keep it under my side of the mattress.,
4,12,The Deposition,2795,Jan,"Alright, I stole your diary and gave it to my lawyer. You emailed a topless photo of me to everyone in our company. Let's call it even.",
4,12,The Deposition,2798,Jan,"Michael, I am not the enemy, OK? Dunder Mifflin is the enemy.",
4,12,The Deposition,2798,Jan,"Alright, wait. Before you go any further, let me show you what kind of loyalty they have, OK? Lester, please read that part of Wallace's deposition.",
4,12,The Deposition,2802,Jan,That was my cheap suggestion. Chinese was my cheap suggestion.,
4,13,Dinner Party,2807,Jan,Chilly huh? So glad we finally got to do this with you guys. You wanna take their coats babe?,
4,13,Dinner Party,2807,Jan,"Oh well Pam, thank you, this will be great to cook with.",
4,13,Dinner Party,2807,Jan,"So what do you guys think, should we do the tour first or the appetizers first?",
4,13,Dinner Party,2807,Jan,Do you have a preference babe? Upstairs first?,
4,13,Dinner Party,2807,Jan,"Alright, well, let's go then, I say upstairs.",
4,13,Dinner Party,2807,Jan,"Yeah, so sorry about this God-awful carpet, we're still a work in progress here.",
4,13,Dinner Party,2808,Jan,"I do, I cannot create in the same space I conduct business, I'm sure that you're the same with your doodles.  Smell.",
4,13,Dinner Party,2808,Jan,"When I get frustrated, or irritated or... angry, I come up here and I just smell all my candles and it just -poof- goes away.",
4,13,Dinner Party,2808,Jan,"So this is the master bedroom, and these walls used to like white, like an asylum. So I wanted it to be softer, So I had it painted in eggshell white.",
4,13,Dinner Party,2808,Jan, Babe I thought you said you were going to tidy things up.,
4,13,Dinner Party,2809,Jan,"It was between the neon beer sign and the Dundies so I said ""Honey keep the trophies.""",
4,13,Dinner Party,2809,Jan,How 'bout we do the short tour and then I'll start dinner?,
4,13,Dinner Party,2809,Jan,"Oh no no no, it's just the osso buco needs to braise for about three hours, everything else is done.",
4,13,Dinner Party,2809,Jan,"You know Pam, in Spain they often don't start eating until midnight.",
4,13,Dinner Party,2809,Jan,"Do you have a preference, upstairs first?",
4,13,Dinner Party,2810,Jan,"So music, should we turn some music?",
4,13,Dinner Party,2810,Jan,Do you guys remember my old assistant Hunter? He is an excellent songwriter.,
4,13,Dinner Party,2810,Jan,Well I think he's probably just about as reliable as Pam being that it usually takes you an afternoon to get back to me.,
4,13,Dinner Party,2810,Angela,Sometimes I think she holds on to faxes.,
4,13,Dinner Party,2812,Jan,"Babe can you just like really, woah, could you just simmer down?",
4,13,Dinner Party,2812,Jan,I was watching Jim.,
4,13,Dinner Party,2814,Jan,"No no no, no names, no names, no rhyming, no soundalikes.",
4,13,Dinner Party,2815,Jan," I'm so, so sorry for the temperature in here. The um, sliding glass door shattered. It's actually a really cute story. Do you wanna tell it babe or should I tell it?",
4,13,Dinner Party,2815,Jan,"Come on, it's a cute story, Michael ran through the sliding glass doors because he thought he heard the ice cream truck!",
4,13,Dinner Party,2815,Jan,"You are so right, you're so right because before I lived here, the glass was always covered in smudges, and then I moved in and I cleaned it so I guess that makes me the Devil.",
4,13,Dinner Party,2815,Jan,"I will get it, I will get it, what kind of hostess would I be if I didn't get. It's okay, I don't mind. In fact you know what, girl's trip, Angela come on. Girl's trip.",
4,13,Dinner Party,2816,Jan,"You should see our bathroom after Michael takes a bath, whew. But I don't have to tell you Pam.",
4,13,Dinner Party,2816,Jan,Oh well don't tell me that he's really changed since you guys dated.,
4,13,Dinner Party,2816,Jan,"Well, Michael told me a little bit about it, but I see the way you look at him.",
4,13,Dinner Party,2818,Jan,"Fine, whatever you want, just like always, whatever you want.",
4,13,Dinner Party,2818,Jan,We saw Wicked.,
4,13,Dinner Party,2818,Jan,"I am so sorry that I don't want to bring kids into this screwed-up world, okay? But look if you want to have kids, then fine you win. Let's have a ing kid.",
4,13,Dinner Party,2818,Jan,I hate my life.,
4,13,Dinner Party,2819,Angela,The thought of popping one of your beets into my mouth makes me want to vomit.,
4,13,Dinner Party,2821,Jan, Can you not do that? It's disgusting.,
4,13,Dinner Party,2821,Jan,How about we take the beer sign down until our guests leave and then we can discuss it.,
4,13,Dinner Party,2821,Jan,At least he's an artist.,
4,13,Dinner Party,2821,Jan, AND I'M A CANDLEMAKER BUT YOU DON'T HEAR ME BRAGGING ABOUT IT!,
4,13,Dinner Party,2821,Jan,FOR AN INVESTMENT OPPORTUNITY!,
4,13,Dinner Party,2821,Jan,YOU BURN IT. YOU BUY IT!,
4,13,Dinner Party,2821,Jan,AND YOU'RE HARDLY MY FIRST!,
4,14,Chair Model,2826,Oscar,Been here nine years. Now all of a sudden I'm supposed to park half a mile away.,
4,15,Night Out,2889,Toby,"When I put it in I thought it would be a waste of time, but I guess it was worth it.",
4,15,Night Out,2891,Oscar,We should all make sure to give him a big tip this Christmas.,
4,15,Night Out,2891,Toby,"Sorry guys, but I don't think I tipped him for last year's.",
4,15,Night Out,2895,Toby,"Hey, look what I found in the back.  Wanna play? Teach you to throw.",
4,15,Night Out,2903,Toby,"More like ""Everyone let's get your boss laid Saturday.""   I have an announcement uh, to make. I am moving to Costa Rica. Thought about it for a long time now. And I'm finally gonna do it. So, I'm just gonna hop the fence and jog home now. ",
4,15,Night Out,2905,Oscar,Why are you assuming they only speak Spanish?,
4,15,Night Out,2905,Oscar," Good evening, we locked ourselves in.  Nosotros trabajamos aqui, nos trancamos, OK?",
4,16,Did I Stutter?,2917,Toby,"Uh, I really think that you need to address what happened with Stanley this morning...",
4,16,Did I Stutter?,2917,Toby,"Well, you know, Stanley was openly insubordinate.",
4,16,Did I Stutter?,2917,Toby,He didn't seem like he was joking.,
4,16,Did I Stutter?,2917,Toby,"Alright... Well, um, if you really believe that Stanley was joking...",
4,16,Did I Stutter?,2917,Toby,"You know, Michael, sometimes my daughter's stomach hurts when there's a mean girl at school...",
4,16,Did I Stutter?,2927,Toby,"I'd say all the goofing around at Pam's desk, and, and hanging out with Pam, has finally caught up to him... w-with Pam",
4,16,Did I Stutter?,2932,Toby,"Well, you can actually fire him.",
4,18,"Goodbye, Toby (Parts 1&2)",2986,Angela,We have a buttercream cake and a slideshow of Toby.,
4,18,"Goodbye, Toby (Parts 1&2)",2986,Angela,"You always do this! We have a nice, modest party planned, and then you come in and demand the world. Let me be clear. There is simply no money for anything other than a cake and to develop a few more slides... although Toby won't be in them.",
4,18,"Goodbye, Toby (Parts 1&2)",2988,Angela,"No! No! You know what? This is not a party-planning committee anymore! And I don't want your foot money, and I feel uncomfortable participating.",
4,18,"Goodbye, Toby (Parts 1&2)",2990,Toby,"As part of my last day I'm training the new Human Resources rep in the ways of the company. Again, the company has allotted for this training-one day.",
4,18,"Goodbye, Toby (Parts 1&2)",2991,Toby,So this is H.R. This is your desk.,
4,18,"Goodbye, Toby (Parts 1&2)",2996,Toby,I'd like to introduce you to my replacement.,
4,18,"Goodbye, Toby (Parts 1&2)",3003,Toby,"I love it. I love it... I would love a picture of the two of us, to also take to Costa Rica.",
4,18,"Goodbye, Toby (Parts 1&2)",3003,Toby,"No, uh...  Does anyone have a camera here?  No one has a camera here. Uh...",
4,18,"Goodbye, Toby (Parts 1&2)",3014,Toby,"Well, we still have to do the exit interview.",
4,18,"Goodbye, Toby (Parts 1&2)",3017,Toby,"I made it this far, right? What's the point?",
4,18,"Goodbye, Toby (Parts 1&2)",3018,Toby," ""Suck on this.""",
4,18,"Goodbye, Toby (Parts 1&2)",3018,Toby,"Thanks, I'm gonna set it to Costa Rica time.",
4,18,"Goodbye, Toby (Parts 1&2)",3019,Oscar,"Well this is what happened: uh, Ryan's big project was the website... which wasn't doing so well. So Ryan, to give the impression of sales, recorded them twice: once as office sales, once as website sales. Which is what we refer to in the business as ""misleading the shareholders."" Another good term is ""fraud."" The real crime, I think, was the beard.",
4,18,"Goodbye, Toby (Parts 1&2)",3023,Toby,"I normally do nothing, I guess. No, you shouldn't- ",
4,18,"Goodbye, Toby (Parts 1&2)",3041,Jan,"... we were together. That's true. And-but, you... are not... uh, you're not the dad.",
4,18,"Goodbye, Toby (Parts 1&2)",3041,Jan,"...Not to. No, I did not. I did not cheat on you. I did not.",
4,18,"Goodbye, Toby (Parts 1&2)",3041,Jan,I went to a sperm bank.,
